Descricao:,Nivel:,Tipo:,Tipo de Reação:,Composto Alvo:,Quantidade:,Moedas:,Compostos Adquiridos:,Meio Reacional Adquirido:,Tips:,Feedback:
A sua primeira missão neste ateliê é formar com suas próprias mãos o clorometano e ácido clorídrico. Repare que o cloro é um halogênio que faz reações de adição radicalar com hidrocarbonetos. O nome do composto também já dá uma pista dos elementos necessários nesta composição.,comum,composto_alvo,,clorometano,,30,,,tip tip/5;top top/10;tup tup/15,Parabéns! Você formou o clorometano (um intermediário químico na produção de polímeros de silicone) e ácido clorídrico agora já tem um bom produto para limpeza pesada.
Faça as 3 reações possíveis com o metano.,desbloqueia_compostos,contar_reacoes_de_composto,,metano,3,40,água;hidrogênio,,O metano só pode reagir 3 vezes/40,Muito bem! Você acabou de ganhar um elemento fundamental pra vida no planeta Terra.
Tente formar o etanol/v ele pode ser útil como combustível.,comum,composto_alvo,,etanol,,50,,,Qualquer organoclorado(hidrocarbonetoclorado) simples pode ser usado em um dos métodos de formação/40;Um dos componentes resultantes da reação desejada é o HCl (acido cloridrico)/60,Parabéns! Com o etanol você também pode fabricar perfumes.
Vamos agora para um organoclorado muito usado em processos de refrigeração/v o tetraclorometano.,comum,composto_alvo,,tetraclorometano,,60,,,Tem como precursor um organoclorado com mais de 1 cloro ligado a ele/50,O tetracolrometano era usado em extintores de incêndio/v mas são muito danosos à camada de ozônio. Produza poucos deste!
Complete 3 missões e ganhe o Eliminador,desbloqueia_caldeirao,contar_missoes,,,3,,,eliminacao,,O eliminador é uma representação metafórica para as reações de eliminação. Use com sabedoria!
O 1/v2-dicloroetano é um composto famoso/v é usado como agente desengordurante em produtos de limpeza. Tente chegar nele! ,comum,composto_alvo,,1/v2-dicloroetano,,70,,,Para chegar a este composto é necessário partir do eteno/60,Muito bem! Este composto é  precursor do PVC/v e vai ser muito útil em sua comunidade!
Complete 15 reações e ganhe o Oxidador,desbloqueia_caldeirao,quantidade_reacoes,,,15,,,oxidacao,,O oxidador é uma representação para as reações de oxidação. Use com sabedoria!
Produza o ácido etanóico. Ele também é conhecido por um outro nome.,comum,composto_alvo,,ácido etanóico,,80,,,Oxide um ácool e veja o que acontece/70;Um composto precursor é um aldeído/90,Parabéns! O ácido etanóico/v ou ácido acético/v é muito usado na cozinha/v para limpeza de vegetais.
Forme a propanona. Ela é útil na preparação de medicamentos/v dentre outras utilidades.,comum,composto_alvo,,propanona,,90,,,Forme um alcool secundário para viabilizar a propanona/80;Uma oxidação pode levar você ao composto que você deseja/100,Você conseguiu! As propanonas também são usadas como solventes de tintas e na preparação de sedas.
O desafio é formar o acetato de metila. Vamos lá!,comum,composto_alvo,,acetato de metila,,100,,,Você precisará de um álcool primário/90;Para chegar a este acetato/v você precisará do ácido etanóico/120,Acetato de metila é ocasionalmente usado para extrações e ocasionalmente como solvente.